career_stage,primary_area,origin_region,work_region,llm_intelligence,llm_intelligence_future,agreement,supp_research_area,occupation,criteria,lacking_criteria,entity_intelligence,intelligence_tests,research_goals
"Research student (PhD, MPhil)",Natural Language Processing,America,Europe,Strongly disagree,"No, I strongly disagree",Unsure,"['AI Ethics', 'AI', 'Comp. Ling.']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,Asia,America,Agree,"No, I disagree",Most would agree with me,[],['Government/non-profit'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Planning', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
Postdoc,Artificial Intelligence,Africa,Europe,Agree,"No, I disagree",Unsure,"['AI', 'HCI', 'ML', 'NLP']","['Academia', 'Government/non-profit']","['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants', 'Autonomous robotic systems', 'LLM-based agents']",['IQ tests'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Postdoc,Neuroscience,Europe,Europe,Agree,"Yes, I agree",More would agree than disagree,"['AI', 'ML']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['Other (please specify)'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",Unsure,"['Comp. Ling.', 'CSS']",['Academia'],"['Env. interaction', 'Goal Ach.', 'Planning', 'Generalization']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Computational Linguistics,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['NLP'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Reasoning', 'Planning', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Computational Social Science,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,['NLP'],['Academia'],"['Knowledge acq.', 'Reasoning', 'Understanding']","['Reasoning', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Computational Linguistics,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,"['AI Ethics', 'AI', 'CSS', 'NLP']",['Academia'],"['Knowledge acq.', 'Reasoning', 'Generalization', 'Understanding']","['Knowledge acq.', 'Reasoning', 'Generalization', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']","['Generalization tests', 'I do not believe that we currently have such a test']","['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Computational Linguistics,Europe,Europe,Disagree,"No, I disagree",Unsure,"['NLP', 'Other']",['Government/non-profit'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']","['SAT/MSAT', 'I do not believe that we currently have such a test']",['interaction of tech and society']
"Research student (PhD, MPhil)",Human-Computer Interaction,America,America,Disagree,"Yes, I strongly agree",More would agree than disagree,['Information Science'],"['Academia', 'Government/non-profit']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Adaptability']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'LLM-based chatbot', 'LLM-based agents']","['SAT/MSAT', 'Turing test', 'Generalization tests', 'I do not believe that we currently have such a test']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,['AI'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Perception', 'Problem solving', 'Reasoning']","['Human', 'Cats', 'Autonomous robotic systems']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Computational Social Science,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,['Other'],['Academia'],"['Env. interaction', 'Perception', 'Goal Ach.', 'Adaptability']","['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats']","['SAT/MSAT', 'LM Benchmarks']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Computational Linguistics,Europe,Europe,Disagree,"No, I disagree",Unsure,"['AI', 'NLP']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Reasoning', 'Planning', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,Europe,Europe,Agree,"Yes, I agree",Unsure,"['AI', 'HCI', 'Neuroscience', 'NLP']",['Academia'],"['Embodiment', 'Perception', 'Problem solving', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Env. interaction', 'Embodiment', 'Problem solving', 'Planning']","['Human', 'Cats', 'LLM-based chatbot']",['Generalization tests'],['Practically Useful']
"Research student (PhD, MPhil)",Computational Linguistics,Europe,Europe,Strongly disagree,"Yes, I agree",More would agree than disagree,"['AI', 'ML', 'NLP']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']","['preference ranking', 'IQ tests', 'SAT/MSAT']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Artificial Intelligence,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['ML'],['Academia'],"['Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Perception', 'Knowledge acq.', 'Reasoning', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I strongly disagree",More would disagree than agree,['CSS'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Perception', 'Reasoning', 'Creativity', 'Understanding']",['Human'],"['LM Benchmarks', 'Generalization tests']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Other student (Master, Bachelor)",Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",Unsure,[],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Planning', 'Adaptability', 'Creativity']","['Env. interaction', 'Embodiment', 'Perception', 'Creativity', 'Consciousness']",['Human'],"['IQ tests', 'SAT/MSAT', 'Turing test']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Neuroscience,Europe,Europe,Disagree,"Yes, I agree",Unsure,"['AI', 'Comp. Ling.', 'CogSci', 'HCI', 'ML', 'Neuroscience', 'NLP']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness']",['Human'],"['preference ranking', 'SAT/MSAT', 'Turing test']",['Practically Useful']
Senior (faculty or industry),Computational Linguistics,Europe,Europe,Disagree,"Yes, I agree",Unsure,['NLP'],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Perception', 'Adaptability', 'Creativity', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Machine Learning,America,America,Disagree,"No, I disagree",More would agree than disagree,"['AI', 'Comp. Ling.', 'Information Science', 'NLP', 'Other']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']","['Other (please specify)', 'I do not believe that we currently have such a test']","['Practically Useful', 'Adding to the knowledge/scientific understanding', 'Other']"
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",Unsure,['Comp. Ling.'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Computational Linguistics,Africa,Africa,Agree,"Yes, I agree",More would agree than disagree,"['Information Science', 'ML', 'Mathematics']",['Government/non-profit'],"['Knowledge acq.', 'Problem solving']","['Reasoning', 'Planning']","['Earlier chatbot', 'LLM-based chatbot']",['Turing test'],['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Computational Social Science,America,Europe,Agree,"Yes, I agree",More would agree than disagree,"['CogSci', 'Information Science', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Planning', 'Generalization']","['Human', 'Cats', 'Ants', 'Autonomous robotic systems', 'LLM-based agents']","['IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Other,Other,America,America,Strongly agree,"Yes, I strongly agree",More would disagree than agree,[],['Academia'],"['Perception', 'Problem solving', 'Reasoning', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Planning', 'Generalization']","['Human', 'Cats', 'Ants', 'Narrow systems', 'LLM-based chatbot', 'LLM-based agents']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Other,Computational Social Science,Europe,Europe,Disagree,"Yes, I agree",Unsure,"['HCI', 'Information Science', 'NLP']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']",['Human'],['Generalization tests'],['Practically Useful']
Junior (faculty or industry),Information Science,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,[],['Industry'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['preference ranking', 'IQ tests', 'Generalization tests']","['Practically Useful', 'interaction of tech and society']"
Other,Other,America,America,Disagree,"No, I disagree",Unsure,"['AI', 'ML', 'NLP']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Perception', 'Knowledge acq.', 'Reasoning']",['None'],['I do not believe that we currently have such a test'],['Other']
Senior (faculty or industry),Natural Language Processing,America,America,Agree,"Yes, I agree",Unsure,['Mathematics'],"['Academia', 'Industry']","['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Agree,"Yes, I agree",Unsure,[],['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Generalization', 'Creativity']","['Human', 'Cats', 'Ants', 'Autonomous robotic systems', 'LLM-based chatbot']","['LM Benchmarks', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would disagree than agree,[],['Industry'],"['Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Generalization', 'Creativity', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Neuroscience,Europe,Europe,Disagree,"Yes, I strongly agree",More would agree than disagree,['Other'],['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization']","['Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Ants', 'Narrow systems']",['Other (please specify)'],['Other']
"Research student (PhD, MPhil)",Machine Learning,Europe,Europe,Strongly disagree,"No, I strongly disagree",Unsure,"['AI', 'CogSci', 'Neuroscience']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization']","['Perception', 'Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['Generalization tests'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Computational Linguistics,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,"['CSS', 'NLP']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Adaptability', 'Generalization', 'Creativity']","['Problem solving', 'Goal Ach.', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Machine Learning,Europe,Europe,Strongly disagree,"No, I disagree",More would disagree than agree,"['ML', 'Other']",['Academia'],"['Perception', 'Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants']","['SAT/MSAT', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Information Science,Europe,Europe,Agree,"Yes, I agree",More would agree than disagree,['CSS'],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Adaptability', 'Creativity', 'Understanding']","['Narrow systems', 'LLM-based chatbot', 'LLM-based agents']",['IQ tests'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Machine Learning,Europe,Europe,Strongly disagree,"Yes, I agree",Unsure,['NLP'],['Industry'],"['Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Perception', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Practically Useful']
"Other student (Master, Bachelor)",Machine Learning,Europe,Europe,Agree,"No, I disagree",More would disagree than agree,"['AI', 'NLP']",['Academia'],"['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity']","['Embodiment', 'Perception', 'Knowledge acq.', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),"Psychology (cognitive, developmental)",America,America,Strongly disagree,"No, I disagree",More would agree than disagree,[],['Academia'],"['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Goal Ach.', 'Adaptability', 'Generalization', 'Consciousness']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Planning', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants', 'Narrow systems']","['LM Benchmarks', 'Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Postdoc,Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,"['AI', 'Comp. Ling.', 'Information Science', 'ML']",['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Planning', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Practically Useful']
Other,Cognitive Science,Europe,America,Strongly disagree,"No, I strongly disagree",More would disagree than agree,"['AI Ethics', 'AI', 'Comp. Ling.', 'CSS', 'Information Science', 'NLP', 'Philosophy', 'Psychology']",['Undisclosed'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']","['Other (please specify)', 'I do not believe that we currently have such a test']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Computational Linguistics,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,"['AI', 'Comp. Ling.', 'HCI', 'NLP', 'Psycholinguistics']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Postdoc,Machine Learning,Europe,Europe,Strongly disagree,"No, I strongly disagree",Most would disagree with me,"['AI', 'Information Science', 'ML', 'Mathematics']",['Academia'],"['Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Goal Ach.', 'Reasoning', 'Planning', 'Generalization']","['Human', 'Cats']","['SAT/MSAT', 'Generalization tests']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Prefer not to say,Natural Language Processing,Prefer not to say,America,Disagree,"No, I disagree",Unsure,['Comp. Ling.'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Knowledge acq.', 'Reasoning', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Agree,"Yes, I agree",Most would disagree with me,"['AI', 'Comp. Ling.', 'ML', 'NLP', 'Psycholinguistics']",['Academia'],"['Perception', 'Problem solving', 'Reasoning', 'Generalization', 'Creativity', 'Understanding']","['Reasoning', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['IQ tests'],"[""Creating technology that qualifies for my notion of 'intelligence'""]"
"Research student (PhD, MPhil)",Cognitive Science,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,"['AI', 'ML', 'NLP']",['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Perception', 'Planning', 'Creativity']",['Human'],"['IQ tests', 'SAT/MSAT', 'Generalization tests', 'I do not believe that we currently have such a test']",['Practically Useful']
"Other student (Master, Bachelor)",Machine Learning,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,[],['Academia'],"['Perception', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Perception', 'Knowledge acq.', 'Adaptability', 'Generalization', 'Creativity']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Machine Learning,Europe,Europe,Agree,"Yes, I strongly agree",More would agree than disagree,"['AI', 'Information Science', 'ML', 'Mathematics', 'NLP']",['Industry'],"['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Planning', 'Consciousness']","['Human', 'Cats', 'LLM-based chatbot', 'LLM-based agents']","['Turing test', 'Generalization tests']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Other,Europe,Europe,Strongly disagree,"No, I strongly disagree",More would disagree than agree,"['Comp. Ling.', 'NLP']",['Academia'],"['Env. interaction', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Practically Useful']
Senior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would disagree than agree,"['AI', 'Comp. Ling.', 'Philosophy']","['Academia', 'Undisclosed']","['Env. interaction', 'Embodiment', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization', 'Understanding']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Understanding']","['Human', 'Cats', 'Ants']","['LM Benchmarks', 'Turing test', 'Other (please specify)']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Artificial Intelligence,Europe,Europe,Disagree,"No, I disagree",Unsure,['Other'],['Academia'],"['Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Perception', 'Knowledge acq.', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats']","['IQ tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Other,Europe,Europe,Strongly disagree,"No, I disagree",Most would agree with me,['ML'],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Perception', 'Creativity', 'Consciousness']",['Human'],"['preference ranking', 'IQ tests', 'Generalization tests']",['Practically Useful']
Senior (faculty or industry),Other,Oceania,Oceania,Agree,"Yes, I agree",More would disagree than agree,"['AI Ethics', 'AI', 'Comp. Ling.', 'CSS', 'CogSci', 'HCI', 'ML', 'NLP', 'Psychology']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['IQ tests', 'SAT/MSAT', 'Turing test', 'Generalization tests', 'I do not believe that we currently have such a test']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Human-Computer Interaction,Prefer not to say,Prefer not to say,,,,['AI Ethics'],['Academia'],['Reasoning'],[],[],[],[]
Senior (faculty or industry),Computational Linguistics,Asia,America,Disagree,"No, I disagree",More would agree than disagree,['NLP'],['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity']","['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization']","['Human', 'Cats']",['Generalization tests'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Human-Computer Interaction,Oceania,Oceania,Agree,"Yes, I agree",Most would disagree with me,"['AI Ethics', 'AI', 'NLP']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']",[],[]
